what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564548721957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548722284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548723554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548727160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548744818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548749316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548775652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564548798040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564548851310
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564548853044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548853320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548854760
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548858367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548878653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564548888234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564548899828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564548911220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564548911829
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564548912877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564548916204
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564548916647
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548916954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548918218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548921019
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548940174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564548968943
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564548990098
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564548990506
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564548990818
