what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564459546376
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564459557546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564459558809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564459565143
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564459566001
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564459575345
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564459575798
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564459576110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564459577468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564459579699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564459595923
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564459597061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564459598840
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564459600805
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564459601336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564459601648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564459602943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564459606609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564459644423
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564459801394
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564459803438
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564459812922
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564459814498
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564459815496
