what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564648590963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564648653682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564648685520
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1564648688100
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648690509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648690683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648690886
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648691059
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648691238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648691448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648691663
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648691849
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648692034
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648692214
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648692393
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648692560
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648692721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648692906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648693097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648693343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648693815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564648694010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564648697085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648697637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648697808
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564648697952
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564648700000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564648700859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564648701318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564648701990
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564648703367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564648703644
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564648724313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564648744562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564648759587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564648760573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649122057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564649137745
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564649139346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649139620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649141108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649144169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649156952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564649157480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564649158254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649162476
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649211198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649252561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649413279
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1564649415309
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564649418195
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564649418656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564649419398
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564649420146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649420427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649421907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649423980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649478263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649479532
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649513367
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1564649514769
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564649517450
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564649517854
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564649519504
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649521819
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649572324
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1564649573177
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564649580218
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564649581734
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564649582884
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649583181
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649584588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649586330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649604961
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564649671924
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564649672289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649672583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649673927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649676387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564649713460
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1564649714897
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564649715834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564649715983
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564649716120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564649716250
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564649716439
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564649717637
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564649720097
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1564649721397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1564649723379
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564649723742
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564649724675
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1564649726318
