what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564617653319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564617659364
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564617666607
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564617667957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564617670008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564617675081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564617675496
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564617685053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564617691889
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564617696738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564617697028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564617697795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564617703666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564617713831
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564617753518
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564617753781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564617754072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564617754828
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1564617758448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564617781258
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564617782581
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564617784543
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564617785150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564617785453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564617786127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564617792580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564617806544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564617826442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564617830472
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1564617831439
