what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564546098145
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546098442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546099721
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546101063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546116029
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564546122285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564546122456
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564546124687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564546125686
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564546133376
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564546133673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546133954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546135280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546136231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546153906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564546160006
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564546160115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564546160255
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564546169646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564546169834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564546170068
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564546171019
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564546171425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564546177946
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564546178679
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546178975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546180301
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546188132
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546218006
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546222499
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546435509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564546457022
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564546460329
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564546463231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564546466257
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564546491638
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564546492075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546492403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546493744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546532094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546545822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546549410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1564546549441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546551968
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564546569830
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564546716967
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564546720805
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564546726967
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564546727638
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564546728231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546728527
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546729915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564546735143
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564546827064
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564546830012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564546831900
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564546838280
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1564546857875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564546864349
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564546866143
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1564546867266
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1564546868030
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1564546878201
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1564546886596
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564546905457
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564546909388
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564546950338
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564546950369
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564546971710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564546973738
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564546982708
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564546985079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564546990305
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564546991132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546991647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1564546991678
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564546991896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564546994314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564546995874
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564546997668
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564547007163
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564547009144
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564547009144
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1564547045135
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1564547045322
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1564547057818
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1564547057974
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564547075759
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564547075931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1564547078833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1564547078973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564547091906
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564547100752
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564547100752
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564547125510
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564547125806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547126087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547127538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547130736
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547141796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564547169409
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564547173746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564547176897
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564547177178
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547177474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547178785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547179393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547186711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564547199378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547200548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547218380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547229580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547235819
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564547237768
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564547240331
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564547244761
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564547247647
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564547247912
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547248209
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547249550
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547250205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547258224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564547261157
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547262748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547438257
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564547442578
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564547442827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547443139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547444450
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547446431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547470003
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547474901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547488801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547513355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547545039
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564547577377
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1564547591059
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564547594927
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564547595286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547595598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547596862
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564547603524
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564547603933
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564547605166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547605478
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564547605758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547609378
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564547611140
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564547611374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547611671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547612981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547614229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547680905
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564547682901
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564547715131
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1564547746706
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564547749078
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564547749967
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547750263
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564547750419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564547751308
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564547752884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547755942
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564547757611
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564547761370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547762852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547769046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547769748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547772946
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564547785878
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564547786206
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547786502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547787251
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564547793304
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564547793522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547793818
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547795144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547796970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564547801696
