what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564552026942
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564552028299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564552028829
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564552029188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552029485
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552030811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552035225
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552089779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552107664
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552135073
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564552147475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552166288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552174010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564552178612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564552187816
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1564552187816
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564552188550
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552193713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552206677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552208486
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552211544
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564552236254
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564552236535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552236832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552238126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552240248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552310978
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1564552321306
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564552323848
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564552325299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564552333520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564552333879
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564552334768
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564552335112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552335408
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552336765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552338949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552375984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552378074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564552394922
