what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564641825767
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564641862361
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564641874566
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564641924982
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564641928467
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564642081929
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564642082516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642082811
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642084159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642085036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642086150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642086554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642161377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564642240389
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564642243174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564642248389
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564642249627
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564642258873
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564642260516
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564642263325
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564642263646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642263966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642265237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642266834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642338392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564642390237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642395785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564642396660
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642397076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564642410167
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564642463422
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642468168
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642469124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564642475779
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564642504755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564642510193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642510928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564642511326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564642521069
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564642529128
