what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564464416382
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564464416959
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464417271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464418768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464420453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464457441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564464470077
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564464473415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564464479140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564464484398
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564464484928
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464485240
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464486784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464487986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464538452
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564464558622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564464570853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564464571477
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564464586203
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564464586468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464586734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464588231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464588980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464626139
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564464655795
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564464661348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564464713343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564464717415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564464717992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564464718320
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564464718678
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564464719240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564464729130
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564464729318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1564464732594
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1564464732890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564464739395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564464742999
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564464744933
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564464752234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564464753466
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1564464754543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564464759316
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564464761407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464761703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464763060
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464766071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464768614
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564464772202
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564464775057
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1564464776040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564464778785
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564464779050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464779347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464780657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464782030
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464806148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564464853494
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564464862542
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564464924458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564464926517
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564464926938
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564464927812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464928108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464929544
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1564464949480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564464950463
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564464950744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464951040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464952444
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464955112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564464981258
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564465026076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564465030132
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1564465032363
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564465036388
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564465094560
